id,time,pred_mood,month,date,week
Iww525gfF,Fast,5,2020-03,2020-03-01,9
Iwy60rwWj,Fast,2,2020-03,2020-03-01,9
Iwz8evndh,Fast,0,2020-03,2020-03-01,9
IwzuQ25mW,Fast,0,2020-03,2020-03-01,9
IwzDGc0ux,Fast,2,2020-03,2020-03-01,9
IwByRd27p,Fast,2,2020-03,2020-03-01,9
IwDgY37iR,Fast,2,2020-03,2020-03-01,9
IwDB2oR2b,Fast,1,2020-03,2020-03-01,9
IwDNjhxZS,Fast,0,2020-03,2020-03-01,9
IwDQVA4nv,Fast,2,2020-03,2020-03-01,9
IwJ902W4p,Fast,1,2020-03,2020-03-02,10
IwKbXATZX,Fast,0,2020-03,2020-03-02,10
IwKXt6VYz,Fast,2,2020-03,2020-03-02,10
IwLE280HN,Fast,2,2020-03,2020-03-02,10
IwNcnbP1t,Fast,1,2020-03,2020-03-02,10
IwNoDcej8,Fast,2,2020-03,2020-03-02,10
IwNMVCePj,Fast,5,2020-03,2020-03-02,10
IwOhE625K,Fast,1,2020-03,2020-03-03,10
IwUfscmMB,Fast,2,2020-03,2020-03-03,10
IwUUm5DLE,Fast,5,2020-03,2020-03-03,10
IwUUE7XUN,Fast,2,2020-03,2020-03-03,10
Ix31u0kXn,Fast,1,2020-03,2020-03-04,10
Ix5klmRMh,Fast,0,2020-03,2020-03-04,10
Ix5HO5Q6l,Fast,4,2020-03,2020-03-04,10
Ix65igG6Q,Fast,0,2020-03,2020-03-04,10
Ix7nehCCy,Fast,7,2020-03,2020-03-05,10
Ixf1BcFfo,Fast,2,2020-03,2020-03-05,10
Ixftdh0Tq,Fast,0,2020-03,2020-03-05,10
IxfI64ycq,Fast,2,2020-03,2020-03-05,10
IxfQNkNJ4,Fast,0,2020-03,2020-03-05,10
IxjkZtwv6,Fast,2,2020-03,2020-03-06,10
IxoAS33Or,Fast,0,2020-03,2020-03-06,10
IxoOUeWao,Fast,0,2020-03,2020-03-06,10
Ixp0ftSkV,Fast,2,2020-03,2020-03-06,10
Ixpr4wgWz,Fast,2,2020-03,2020-03-06,10
IxtPwE0zu,Fast,2,2020-03,2020-03-07,10
IxxsCruAd,Fast,2,2020-03,2020-03-07,10
IxxLjodyE,Fast,5,2020-03,2020-03-07,10
IxyrMcgzO,Fast,5,2020-03,2020-03-07,10
IxEqIBxUN,Fast,1,2020-03,2020-03-08,10
IxFAJucLa,Fast,5,2020-03,2020-03-08,10
IxGEjem26,Fast,2,2020-03,2020-03-08,10
IxHRvscYF,Fast,1,2020-03,2020-03-08,10
IxIec119e,Fast,0,2020-03,2020-03-08,10
IxInB1INJ,Fast,2,2020-03,2020-03-08,10
IxJ9QhUGU,Fast,3,2020-03,2020-03-09,11
IxLIKAWwu,Fast,2,2020-03,2020-03-09,11
IxLP4nYTs,Fast,5,2020-03,2020-03-09,11
IxO4lf4Q9,Fast,2,2020-03,2020-03-09,11
IxS01beU6,Fast,2,2020-03,2020-03-10,11
IxS5M9NYO,Fast,0,2020-03,2020-03-10,11
IxSoptVIF,Fast,2,2020-03,2020-03-10,11
Iy5zGbGrk,Fast,0,2020-03,2020-03-11,11
IyaqU9Na4,Fast,2,2020-03,2020-03-11,11
IyfEagg4p,Fast,2,2020-03,2020-03-12,11
IykwgAH2i,Fast,5,2020-03,2020-03-13,11
IykEDd1Yp,Fast,5,2020-03,2020-03-13,11
Iyl7WprrD,Fast,1,2020-03,2020-03-13,11
IypGpnezm,Fast,1,2020-03,2020-03-13,11
IytvU1owv,Fast,0,2020-03,2020-03-13,11
IytMoapoa,Fast,5,2020-03,2020-03-14,11
IywXFs3lg,Fast,2,2020-03,2020-03-14,11
IyD8xeyuz,Fast,1,2020-03,2020-03-15,11
IyFkUqSkI,Fast,2,2020-03,2020-03-15,11
IyIEQDOnu,Fast,1,2020-03,2020-03-15,11
