id,user_id,timestamp,time,model_reweight_c,month,date,week,template,keyword
Iww525gfF,75853ac2076a0b99,2020-03-01 02:50:00,Fast,-1,2020-03,2020-03-01,9,[adv][n],转眼
Iwy60rwWj,bbbd90d9e1c2387c,2020-03-01 07:58:00,Fast,1,2020-03,2020-03-01,9,[time][fast],转眼
IwydPnFWt,71a0a2370cd5f212,2020-03-01 08:17:00,Fast,0,2020-03,2020-03-01,9,[time]过[de]快,转眼
Iwz8evndh,1f028455af782ccb,2020-03-01 10:36:00,Fast,1,2020-03,2020-03-01,9,[time]过[de]快,转眼
IwzuQ25mW,41346d61eaea4ed7,2020-03-01 11:32:00,Fast,-1,2020-03,2020-03-01,9,[time][fast],转眼
IwzDGc0ux,105f22b449865fe9,2020-03-01 11:53:00,Fast,1,2020-03,2020-03-01,9,[time]过[de]快,转眼
IwAg5g3Rp,3979b91549cff535,2020-03-01 13:28:00,Fast,-1,2020-03,2020-03-01,9,[time]过[de]快,转眼
IwByRd27p,95ffde7ef63b256f,2020-03-01 16:47:00,Fast,-1,2020-03,2020-03-01,9,[time]过[de]快,转眼
IwD7zlh3L,88736659a50cdf7a,2020-03-01 20:45:00,Fast,0,2020-03,2020-03-01,9,[time][fast],转眼
IwDgY37iR,5fc20b2c75d2df0e,2020-03-01 21:08:00,Fast,1,2020-03,2020-03-01,9,[time]过[de]快,转眼
IwDB2oR2b,e6fb0adf4ee80886,2020-03-01 21:58:00,Fast,1,2020-03,2020-03-01,9,[time][fast],转眼
IwDNjhxZS,93014e96fc2a3b40,2020-03-01 22:28:00,Fast,1,2020-03,2020-03-01,9,[words],时光荏苒&岁月如梭
IwDQVA4nv,f4bf468b150a21d5,2020-03-01 22:37:00,Fast,1,2020-03,2020-03-01,9,[time][fast],转眼
IwJ902W4p,a01f44150aa2f137,2020-03-02 12:05:00,Fast,0,2020-03,2020-03-02,10,[time]过[de]快,转眼
IwKbXATZX,f953375fd06a9935,2020-03-02 14:45:00,Fast,0,2020-03,2020-03-02,10,[time][fast],转眼
IwKXt6VYz,19c83b9237e56255,2020-03-02 16:42:00,Fast,1,2020-03,2020-03-02,10,[time]过[de]快,转眼
IwLE280HN,c608c1dc46c109d0,2020-03-02 18:27:00,Fast,-1,2020-03,2020-03-02,10,[time]过[de]快,转眼
IwNcnbP1t,3ac2f4699f5d1790,2020-03-02 22:24:00,Fast,1,2020-03,2020-03-02,10,[time]过[de]快,时光荏苒&岁月如梭
IwNoDcej8,e855ed317931aa37,2020-03-02 22:55:00,Fast,-1,2020-03,2020-03-02,10,[time][fast],转眼
IwNMVCePj,db8e077466f261ad,2020-03-02 23:55:00,Fast,1,2020-03,2020-03-02,10,[time]过[de]快,转眼
IwOhE625K,2f65b850f2d6a798,2020-03-03 01:10:00,Fast,1,2020-03,2020-03-03,10,[time][fast],转眼
IwUfscmMB,57d964ebb866ba45,2020-03-03 16:21:00,Fast,1,2020-03,2020-03-03,10,[time][fast],转眼
IwUUm5DLE,a8de758cf280e30c,2020-03-03 18:02:00,Fast,0,2020-03,2020-03-03,10,[words],转眼
IwUUE7XUN,402d32979c55b5eb,2020-03-03 18:03:00,Fast,-1,2020-03,2020-03-03,10,[hope][time][adj],转眼
Ix31u0kXn,c1ca3e674b40b8a8,2020-03-04 14:42:00,Fast,0,2020-03,2020-03-04,10,[time][fast],转眼
Ix5klmRMh,55e4e4055b158b9a,2020-03-04 20:34:00,Fast,0,2020-03,2020-03-04,10,[time]过[de]快,转眼
Ix5HO5Q6l,ceed28472851fd93,2020-03-04 21:31:00,Fast,1,2020-03,2020-03-04,10,[time][pass],时间匆匆
Ix65igG6Q,2c418f16e7c248ed,2020-03-04 22:29:00,Fast,0,2020-03,2020-03-04,10,[time][fast],时光飞逝
Ix7nehCCy,46f7ae329ee0e581,2020-03-05 01:46:00,Fast,1,2020-03,2020-03-05,10,[time]过[de]快,转眼
Ixf1BcFfo,2c9f817b71ccc50c,2020-03-05 21:15:00,Fast,0,2020-03,2020-03-05,10,[time]过[de]快,转眼
Ixftdh0Tq,d22a06f8b0137543,2020-03-05 22:23:00,Fast,1,2020-03,2020-03-05,10,[time][fast],转眼
IxfI64ycq,a05232180c5b2f9c,2020-03-05 23:00:00,Fast,-1,2020-03,2020-03-05,10,[time]过[de]快,时光荏苒&岁月如梭
IxfQNkNJ4,e04ef65dea74616f,2020-03-05 23:21:00,Fast,-1,2020-03,2020-03-05,10,[time]过[de]快,转眼
IxjkZtwv6,1a5b452fa0ef312d,2020-03-06 08:14:00,Fast,1,2020-03,2020-03-06,10,[time]过[de]快,转眼
IxoAS33Or,5e77aa5f4ae76482,2020-03-06 21:36:00,Fast,0,2020-03,2020-03-06,10,[words],转眼
IxoOUeWao,6c64060d3ccf9e0d,2020-03-06 22:11:00,Fast,0,2020-03,2020-03-06,10,[time]过[de]快,时光荏苒
Ixp0ftSkV,9326c0c786dc0ea1,2020-03-06 22:39:00,Fast,1,2020-03,2020-03-06,10,[time]过[de]快,转眼
Ixpr4wgWz,90336f1cb902c506,2020-03-06 23:45:00,Fast,-1,2020-03,2020-03-06,10,[time]过[de]快,转眼
IxtPwE0zu,c9dc6127d8f6f816,2020-03-07 10:56:00,Fast,-1,2020-03,2020-03-07,10,[time][pass],转眼
IxxsCruAd,041c372f1d136995,2020-03-07 20:11:00,Fast,1,2020-03,2020-03-07,10,[time]过[de]快,转眼
IxxLjodyE,6a8b892725961793,2020-03-07 20:57:00,Fast,-1,2020-03,2020-03-07,10,[time]过[de]快,转眼
IxyrMcgzO,d247f637fbc81fb7,2020-03-07 22:42:00,Fast,0,2020-03,2020-03-07,10,[time][fast],转眼
IxEqIBxUN,0a014cdb8bd201b4,2020-03-08 13:55:00,Fast,1,2020-03,2020-03-08,10,[time]过[de]快,转眼
IxFAJucLa,f1610eb06da9ca55,2020-03-08 16:53:00,Fast,-1,2020-03,2020-03-08,10,[time]过[de]快,转眼
IxFSa8ly6,92f06e45ed2af802,2020-03-08 17:36:00,Fast,0,2020-03,2020-03-08,10,[time]过[de]快,时光荏苒
IxGEjem26,59c88bec39f210b0,2020-03-08 19:34:00,Fast,1,2020-03,2020-03-08,10,[time]过[de]快,转眼
IxHRvscYF,897c749bfad4c5f5,2020-03-08 22:40:00,Fast,0,2020-03,2020-03-08,10,[time][fast],转眼
IxIec119e,cf3ebafc073625e8,2020-03-08 23:36:00,Fast,-1,2020-03,2020-03-08,10,[time][fast],转眼
IxInB1INJ,04de6afe3c1b4f6f,2020-03-08 23:59:00,Fast,1,2020-03,2020-03-08,10,[time][pass],转眼
IxJ9QhUGU,24e4f1c944bad003,2020-03-09 01:58:00,Fast,-1,2020-03,2020-03-09,11,[time][fast],转眼
IxLIKAWwu,41f85dc5e13ab6e7,2020-03-09 08:29:00,Fast,0,2020-03,2020-03-09,11,[time]过[de]快,转眼
IxLP4nYTs,6d427a9d58e7a31b,2020-03-09 08:45:00,Fast,-1,2020-03,2020-03-09,11,[time][fast],转眼
IxO4lf4Q9,0e37e6c2f2fa827e,2020-03-09 14:28:00,Fast,1,2020-03,2020-03-09,11,[time][pass],转瞬即逝
IxS01beU6,13c094815004027d,2020-03-10 00:28:00,Fast,0,2020-03,2020-03-10,11,[time]过[de]快,转眼
IxS5M9NYO,bc42e65ddaae2cea,2020-03-10 00:42:00,Fast,0,2020-03,2020-03-10,11,[time]过[de]快,转眼
IxSoptVIF,59897e7ccfad430f,2020-03-10 01:28:00,Fast,1,2020-03,2020-03-10,11,[time]过[de]快,转眼
IxZJz0ERg,0d06ce03e5bef79d,2020-03-10 20:10:00,Fast,-1,2020-03,2020-03-10,11,[time][fast],转眼
Iy5zGbGrk,ed725dc82dee28ce,2020-03-11 11:02:00,Fast,0,2020-03,2020-03-11,11,[time][pass],转眼
IyaqU9Na4,98a401308e91701a,2020-03-11 23:24:00,Fast,-1,2020-03,2020-03-11,11,[time][fast],过太快
IyfEagg4p,e2acebbbbe28e427,2020-03-12 12:40:00,Fast,0,2020-03,2020-03-12,11,[time]过[de]快,转眼
IykwgAH2i,fd341baa58480fad,2020-03-13 01:04:00,Fast,-1,2020-03,2020-03-13,11,[words],转眼
IykEDd1Yp,ed21b3f53e53ec6d,2020-03-13 01:25:00,Fast,1,2020-03,2020-03-13,11,[time]过[de]快,转眼
Iyl7WprrD,9bfa878456dc73ed,2020-03-13 02:37:00,Fast,-1,2020-03,2020-03-13,11,[time]过[de]快,转眼
IypGpnezm,ae5d2b239398b8c3,2020-03-13 14:13:00,Fast,-1,2020-03,2020-03-13,11,[time][fast],转眼
IytvU1owv,ee38eaf58783b099,2020-03-13 23:58:00,Fast,-1,2020-03,2020-03-13,11,[time]过[de]快,转眼
IytMoapoa,24891e06a86768d8,2020-03-14 00:39:00,Fast,1,2020-03,2020-03-14,11,[time][fast],转眼
IywXFs3lg,b47d2d4aa8c7fd86,2020-03-14 08:45:00,Fast,1,2020-03,2020-03-14,11,[time]过[de]快,转眼
IyyREkOE4,1580a80fc3d529c0,2020-03-14 13:36:00,Fast,0,2020-03,2020-03-14,11,[time][fast],过太快
IyD8xeyuz,f21b691123b216a2,2020-03-15 00:28:00,Fast,1,2020-03,2020-03-15,11,[time]过[de]快,转眼
IyFkUqSkI,af97e99d154318c6,2020-03-15 06:04:00,Fast,0,2020-03,2020-03-15,11,[time][pass],转眼
IyIEQDOnu,435a2a90f27c88d8,2020-03-15 14:32:00,Fast,-1,2020-03,2020-03-15,11,[time]过[de]快,转眼
IyK6q8k9f,f58174c5ec184e79,2020-03-15 18:12:00,Fast,1,2020-03,2020-03-15,11,[adv]过了[time],转眼
